machine_id,machine_name,department,install_year,avg_maintenance_score,max_maintenance_score,avg_failure_prob,total_failures,total_readings,avg_vibration,avg_temperature,age_years,failure_rate,risk_rank,action_required
MCH-007,Hydraulic Press #2,Production,2014,46.1,100,0.4719,69,300,3.9907133333333333,74.05786666666667,10,0.23,1,IMMEDIATE
MCH-009,Cooling Circuit Pump,Utilities,2013,45.8,100,0.4705,81,300,3.82695,73.8812,11,0.27,2,IMMEDIATE
MCH-002,Hydraulic Press #1,Production,2015,46.9,100,0.4583,68,300,4.0871,75.976,9,0.2267,3,IMMEDIATE
MCH-006,Packaging Unit B,Logistics,2016,42.1,99,0.4396,61,300,4.00258,75.63076666666666,8,0.2033,4,IMMEDIATE
MCH-010,Conveyor System Main,Logistics,2016,40.4,95,0.4333,65,300,3.6788266666666662,73.09503333333333,8,0.2167,5,IMMEDIATE
MCH-001,Pipe Bending Line A,Production,2018,30.7,79,0.4206,66,300,3.6846599999999996,73.85713333333334,6,0.22,6,IMMEDIATE
MCH-005,Quality Test Bench,QA,2017,35.6,100,0.4128,59,300,3.68302,75.14876666666667,7,0.1967,7,IMMEDIATE
MCH-003,CNC Lathe Station 3,Machining,2019,25.9,74,0.3586,45,300,3.5911266666666664,75.05823333333333,5,0.15,8,IMMEDIATE
MCH-004,Valve Assembly Robot,Assembly,2020,21.2,74,0.315,44,300,3.6428966666666662,73.98913333333334,4,0.1467,9,IMMEDIATE
MCH-008,Welding Station Alpha,Production,2021,16.0,56,0.2597,31,300,3.60766,74.57576666666667,3,0.1033,10,IMMEDIATE
