order_id,supplier_id,supplier_name,supplier_risk,product_id,product_name,category,order_date,planned_delivery,actual_delivery,planned_lead_days,actual_lead_days,on_time_delivery,quantity_ordered,defect_quantity,defect_rate,unit_price_eur,total_value_eur,invoice_match
PO-10000,SUP-007,Hoffmann Global Supply,high,VALV-002,Pressure Relief Valve,Valves,2023-09-28,2023-10-14,2023-10-14,16,16,True,70,2,0.0286,15.37,1075.9,False
PO-10001,SUP-008,Schneider Dichtungen GmbH,medium,FIXT-001,Push-Fit Connector,Fittings,2023-04-10,2023-04-20,2023-04-23,10,13,False,393,8,0.0204,71.18,27973.74,True
PO-10002,SUP-005,Krause Logistik KG,medium,PIPE-001,Copper Pipe 15mm,Pipes,2024-04-04,2024-04-11,2024-04-11,7,7,True,285,14,0.0491,4.4,1254.0,True
PO-10003,SUP-008,Schneider Dichtungen GmbH,medium,VALV-002,Pressure Relief Valve,Valves,2024-11-30,2024-12-10,2024-12-10,10,10,True,224,8,0.0357,53.52,11988.48,True
PO-10004,SUP-001,Schmidt Metallteile GmbH,low,VALV-001,"Ball Valve 1/2""",Valves,2024-04-29,2024-05-05,2024-05-05,6,6,True,378,14,0.037,7.87,2974.86,True
PO-10005,SUP-002,Fischer Kunststoff AG,medium,PIPE-002,Steel Pipe 22mm,Pipes,2023-12-12,2023-12-19,2023-12-19,7,7,True,141,1,0.0071,38.81,5472.21,True
PO-10006,SUP-007,Hoffmann Global Supply,high,VALV-001,"Ball Valve 1/2""",Valves,2023-07-25,2023-08-08,2023-08-13,14,19,False,51,2,0.0392,37.58,1916.58,True
PO-10007,SUP-005,Krause Logistik KG,medium,SEAL-001,EPDM O-Ring Pack,Seals,2024-02-06,2024-02-13,2024-02-13,7,7,True,251,15,0.0598,76.32,19156.32,True
PO-10008,SUP-008,Schneider Dichtungen GmbH,medium,FIXT-002,Elbow 90deg 15mm,Fittings,2024-12-27,2025-01-04,2025-01-04,8,8,True,262,7,0.0267,34.57,9057.34,True
PO-10009,SUP-002,Fischer Kunststoff AG,medium,PIPE-001,Copper Pipe 15mm,Pipes,2023-07-07,2023-07-14,2023-07-20,7,13,False,114,4,0.0351,3.79,432.06,True
PO-10010,SUP-008,Schneider Dichtungen GmbH,medium,SEAL-002,Press Fitting Seal,Seals,2023-03-04,2023-03-14,2023-03-18,10,14,False,468,3,0.0064,66.13,30948.84,True
PO-10011,SUP-001,Schmidt Metallteile GmbH,low,VALV-002,Pressure Relief Valve,Valves,2023-05-15,2023-05-19,2023-05-19,4,4,True,467,6,0.0128,10.37,4842.79,True
PO-10012,SUP-005,Krause Logistik KG,medium,VALV-001,"Ball Valve 1/2""",Valves,2024-11-14,2024-11-21,2024-11-21,7,7,True,498,48,0.0964,34.09,16976.82,True
PO-10013,SUP-005,Krause Logistik KG,medium,PIPE-002,Steel Pipe 22mm,Pipes,2024-05-17,2024-05-25,2024-05-25,8,8,True,332,14,0.0422,45.63,15149.16,False
PO-10014,SUP-005,Krause Logistik KG,medium,VALV-001,"Ball Valve 1/2""",Valves,2024-07-28,2024-08-05,2024-08-05,8,8,True,145,2,0.0138,59.88,8682.6,True
PO-10015,SUP-007,Hoffmann Global Supply,high,VALV-001,"Ball Valve 1/2""",Valves,2024-06-24,2024-07-08,2024-07-12,14,18,False,292,54,0.1849,15.8,4613.6,True
PO-10016,SUP-001,Schmidt Metallteile GmbH,low,FIXT-001,Push-Fit Connector,Fittings,2024-10-07,2024-10-12,2024-10-12,5,5,True,177,6,0.0339,69.11,12232.47,True
PO-10017,SUP-001,Schmidt Metallteile GmbH,low,PIPE-001,Copper Pipe 15mm,Pipes,2024-01-12,2024-01-18,2024-01-18,6,6,True,165,2,0.0121,31.59,5212.35,True
PO-10018,SUP-003,Müller Rohre & Armaturen,low,PIPE-001,Copper Pipe 15mm,Pipes,2023-11-14,2023-11-19,2023-11-19,5,5,True,283,10,0.0353,30.35,8589.05,True
PO-10019,SUP-008,Schneider Dichtungen GmbH,medium,SEAL-002,Press Fitting Seal,Seals,2023-08-21,2023-08-29,2023-09-01,8,11,False,101,7,0.0693,22.87,2309.87,True
PO-10020,SUP-005,Krause Logistik KG,medium,PIPE-001,Copper Pipe 15mm,Pipes,2023-03-22,2023-03-30,2023-03-30,8,8,True,179,0,0.0,36.41,6517.39,True
